Mot;Pageviews;Difficulte_V1;Difficulte_V2;Delta_Difficulte;Abstraction_V1;Abstraction_V2;Delta_Abstraction
estafette;2306;0.040;0.040;0.000;0.250;0.250;0.000
facétieux;2395;0.209;0.173;-0.036;0.600;0.600;0.000
fallacieux;8841;0.131;0.050;-0.081;0.600;0.600;0.000
famélique;2047;0.154;0.124;-0.030;0.650;0.650;0.000
fielleux;704;0.329;0.329;0.000;0.600;0.600;0.000
flegmatique;1319;0.265;0.218;-0.047;0.650;0.650;0.000
flibustier;1105;0.273;0.243;-0.030;0.250;0.250;0.000
flâneur;727;0.159;0.159;0.000;0.600;0.600;0.000
fripon;1920;0.212;0.091;-0.121;0.600;0.600;0.000
goguenard;2671;0.040;0.040;0.000;0.600;0.600;0.000
graveleux;2896;0.263;0.065;-0.198;0.600;0.600;0.000
gredin;2424;0.107;0.010;-0.097;0.600;0.600;0.000
grivois;2159;0.386;0.354;-0.032;0.600;0.600;0.000
grivoiserie;390;0.609;0.609;0.000;0.600;0.600;0.000
grognard;814;0.444;0.444;0.000;0.250;0.250;0.000
ignominie;3000;0.040;0.040;0.000;0.600;0.948;0.348
ilote;3074;0.340;0.367;0.027;0.600;0.600;0.000
imbroglio;3525;0.092;0.040;-0.052;0.600;0.600;0.000
impertinence;594;0.151;0.151;0.000;0.750;0.750;0.000
impudence;1543;0.132;0.071;-0.061;0.750;0.750;0.000
impérieux;2112;0.040;0.040;0.000;0.600;0.600;0.000
impéritie;9160;0.371;0.103;-0.268;0.600;0.600;0.000
incurie;2552;0.243;0.068;-0.175;0.600;0.600;0.000
indocile;450;0.235;0.235;0.000;0.600;0.600;0.000
insidieux;2971;0.121;0.040;-0.081;0.600;0.600;0.000
insolence;1248;0.040;0.040;0.000;0.750;0.750;0.000
insoumis;479;0.056;0.056;0.000;0.600;0.600;0.000
intransigeance;463;0.080;0.080;0.000;0.750;0.750;0.000
intrépide;2632;0.040;0.040;0.000;0.600;0.600;0.000
intègre;1943;0.020;0.020;0.000;0.600;0.600;0.000
irrévérence;388;0.452;0.452;0.000;0.750;0.750;0.000
larron;3163;0.163;0.116;-0.047;0.250;0.250;0.000
libidineux;1476;0.295;0.223;-0.072;0.600;0.600;0.000
licencieux;1648;0.377;0.284;-0.093;0.600;0.600;0.000
longanimité;1687;0.575;0.488;-0.087;0.750;0.750;0.000
magnanime;3846;0.092;0.040;-0.052;0.600;0.600;0.000
malandrin;2160;0.539;0.524;-0.015;0.250;0.250;0.000
mansuétude;5987;0.050;0.050;0.000;0.750;0.750;0.000
maraudeur;851;0.099;0.099;0.000;0.250;0.250;0.000
marmiton;1275;0.357;0.347;-0.010;0.250;0.250;0.000
mentor;3134;0.053;0.010;-0.043;0.600;0.600;0.000
moujik;861;0.280;0.280;0.000;0.250;0.250;0.000
méticuleux;1275;0.050;0.050;0.000;0.600;0.600;0.000
narquois;2446;0.030;0.030;0.000;0.600;0.600;0.000
noctambule;2014;0.203;0.175;-0.028;0.600;0.600;0.000
obséquieux;4364;0.273;0.050;-0.223;0.600;0.600;0.000
ombrageux;1219;0.051;0.040;-0.011;0.600;0.600;0.000
opiniâtre;4796;0.040;0.040;0.000;0.600;0.600;0.000
