mot;score_v3;score_semantique;zipf_books;ratio;categories_wikt;theme_similaire;methode
dépouille;1.0;0.6004;3.699;2.959;littéraire;Nature & Cosmos;V3+Embedding
fronde;1.0;0.5993;3.228;1.965;poétique;Esprit & Caractère;V3+Embedding
désobligeant;1.0;0.5985;3.004;11.222;soutenu;Esprit & Caractère;V3+Embedding
crapule;1.0;0.598;3.398;0.564;archaïque;Nature & Cosmos;V3+Embedding
hymen;1.0;0.5974;2.531;0.166;poétique;Nature & Cosmos;V3+Embedding
clameur;1.0;0.5968;3.749;7.685;littéraire;Art & Langage;V3+Embedding
brise;1.0;0.5963;4.037;1.943;littéraire+poétique;Nature & Cosmos;V3+Embedding
fructueux;1.0;0.5958;3.13;4.219;poétique;Esprit & Caractère;V3+Embedding
dériveur;1.0;0.5957;2.146;1.0;archaïque;Esprit & Caractère;V3+Embedding
fleuronner;1.0;0.5956;1.845;10.0;littéraire;Art & Langage;V3+Embedding
albâtre;1.0;0.5955;3.473;5.211;poétique;Nature & Cosmos;V3+Embedding
atlante;1.0;0.5946;2.431;5.4;littéraire;Nature & Cosmos;V3+Embedding
