Mot	FREQ_Mean	FREQ_SD	FREQ_StResiduals	IMAGE_Mean	IMAGE_SD	IMAGE_StResiduals
brouillon	4.48	1.52	0.7364	5.09	2.34	-0.9533
broussaille	2.30	1.44	1.4408	3.51	4.24	1.1074
bru	2.38	1.54	2.0949	2.84	3.50	0.5744
bruine	2.37	1.43	1.2354	3.95	5.34	2.8120
bruit	5.59	1.31	0.5651	3.36	2.76	-0.6491
brûleur	3.16	1.44	0.2570	4.77	2.92	-0.5890
brûlure	4.20	1.19	-1.8001	5.43	2.50	-0.5505
brutalité	3.31	1.25	-1.2347	2.95	2.62	-0.4700
buanderie	2.97	1.53	1.1629	5.38	3.57	0.5558
bûcher	2.80	1.29	-0.4511	5.19	2.76	-0.5099
budget	4.81	1.31	-0.5846	3.68	2.92	-0.6322
buée	2.93	1.68	2.5009	4.80	3.24	-0.2321
bulbe	2.95	1.22	-1.1043	5.41	2.43	-0.6234
bulle	3.94	1.65	1.6641	6.43	0.90	-0.2230
bureau	5.46	1.21	-0.3520	6.24	1.17	-0.4266
burin	1.17	0.45	-0.7312	1.56	1.04	0.4480
butin	2.29	1.35	0.7852	3.28	4.54	1.6917
butor	1.54	1.04	0.5332	1.78	2.22	0.7252
buveur	3.61	1.31	-0.9824	4.12	2.66	-0.9821
cabale	1.63	1.04	0.2904	1.70	1.10	0.2121
cabanon	2.25	1.26	0.2307	4.52	5.76	3.6684
cabinet	3.88	1.55	0.8056	5.59	2.28	-0.5765
câblage	2.61	1.30	-0.1145	4.22	3.76	0.2712
cabriolet	1.90	1.09	-0.0959	3.54	5.11	2.5183
cacahuète	2.22	1.36	0.9927	6.11	2.43	0.1880
cachalot	1.78	0.94	-0.6252	3.52	6.20	4.7066
cachette	3.93	1.67	1.8423	4.02	2.34	-1.2533
cachot	2.11	1.10	-0.5018	4.20	5.48	3.0606
cactus	3.05	1.41	0.1312	6.73	0.42	0.1919
caddie	1.58	0.86	-0.4943	2.72	3.57	0.7899
cadenas	4.50	1.41	-0.1161	6.70	0.44	0.1383
cadran	4.40	1.73	2.5215	6.08	2.16	-0.0751
cadre	4.37	1.36	-0.5649	5.86	2.13	-0.3860
cafard	2.15	1.41	1.5050	3.66	5.20	2.6334
café	5.91	1.10	-0.1193	6.59	0.62	-0.0250
cage	4.02	1.50	0.4005	6.59	0.58	-0.0349
cahier	5.04	1.36	0.0400	6.33	1.28	-0.2402
caïman	1.52	0.85	-0.3759	2.63	5.11	3.2388
caissière	4.94	1.43	0.4413	5.27	1.82	-1.2015
calanque	1.32	0.69	-0.4600	1.87	2.59	0.8870
calcification	1.84	1.13	0.2847	2.77	2.99	0.0672
calcul	4.88	1.38	-0.0044	4.11	3.20	-0.4160
cale	1.90	1.04	-0.3819	2.31	3.88	1.6908
calèche	2.19	1.16	-0.3013	5.43	4.16	1.4050
caleçon	3.13	1.74	2.8460	5.83	3.17	0.5466
calepin	3.20	1.45	0.3003	5.66	3.31	0.5160
calibre	3.13	1.44	0.2839	2.90	3.13	0.0918
calmar	2.20	1.13	-0.5058	4.38	5.95	4.0398
calme	5.12	1.34	0.0018	3.22	2.86	-0.4598
calomnie	1.77	1.04	-0.0687	1.94	2.13	0.3877
calorie	5.01	1.34	-0.1432	2.50	2.62	0.0045
calotte	2.69	1.72	3.1744	4.47	5.34	2.8269
calumet	1.88	0.94	-0.8667	3.52	4.75	1.9099
camarade	3.52	1.47	0.2493	4.47	2.56	-1.0395
cambriolage	3.08	1.17	-1.5614	4.04	2.96	-0.6781
caméléon	2.59	1.21	-0.6907	6.49	0.66	-0.1906
camion	5.33	1.30	0.0338	6.73	0.34	0.1804
camionnette	3.02	1.43	0.3145	6.50	0.71	-0.1617
camisole	3.95	1.58	1.0572	6.53	0.48	-0.1583
camp	4.35	1.44	0.0266	5.36	2.34	-0.7457
campagne	4.36	1.30	-0.9986	5.33	2.76	-0.3986
camping	4.47	1.36	-0.5075	5.94	1.39	-0.7446
canapé	2.78	1.39	0.2948	5.63	2.89	0.0217
canard	3.66	1.65	1.7038	6.81	0.23	0.3215
canari	2.51	1.34	0.3264	6.34	1.23	-0.2443
cancer	5.15	1.47	1.0248	3.88	3.57	0.0533
candeur	1.70	0.83	-0.9466	1.88	1.49	0.0759
candidat	3.97	1.24	-1.5169	3.56	2.86	-0.6533
candidature	3.59	1.35	-0.6892	2.86	2.53	-0.4744
cane	3.40	1.58	1.2144	5.75	2.96	0.2252
canette	4.84	1.62	1.8860	6.50	0.76	-0.1485
caniche	2.93	1.58	1.6254	5.86	3.10	0.5050
canif	2.98	1.21	-1.2027	6.25	0.90	-0.5078
canoë	2.94	1.58	1.6140	5.80	3.76	1.2384
canon	3.08	1.38	-0.1233	6.22	1.64	-0.2232
cantatrice	1.65	0.95	-0.2433	2.43	3.31	0.8120
cantine	3.65	1.58	1.0997	5.27	2.76	-0.4480
cantique	2.17	1.04	-0.9701	2.58	2.89	0.1677
canton	2.44	1.37	0.6616	3.19	4.00	0.9447
capacité	4.37	1.29	-1.0630	2.26	1.28	-0.6094
cape	2.69	1.30	-0.2320	5.65	2.56	-0.2741
capital	4.56	1.45	0.2332	3.52	3.35	-0.0956
capitale	4.88	1.36	-0.1516	3.98	3.69	0.1821
capot	2.55	1.23	-0.4972	4.79	4.20	1.0269
caprice	3.16	1.33	-0.5613	2.47	1.61	-0.7146
capsule	3.31	1.49	0.5314	4.88	3.69	0.3524
captivité	2.97	1.22	-1.1265	3.23	2.43	-0.8609
capture	3.22	1.44	0.2063	3.50	2.89	-0.5909
capuche	3.19	1.46	0.3869	4.87	4.80	2.0075
capuchon	4.09	1.56	0.9042	6.36	0.85	-0.3539
carabine	2.86	1.47	0.8074	6.19	1.37	-0.4106
caractéristique	5.05	1.26	-0.6507	2.62	2.34	-0.3848
carafe	1.98	1.18	0.2697	3.78	5.62	3.3923
caramel	4.33	1.49	0.4104	6.51	0.61	-0.1672
carapace	2.54	1.13	-1.1150	5.70	2.04	-0.6376
carat	2.09	1.16	-0.0956	2.44	3.65	1.2115
caravane	2.42	1.08	-1.2120	5.33	3.39	0.2838
caravelle	1.67	0.82	-0.9134	2.91	5.02	2.7921
carburant	2.97	1.36	-0.1565	4.51	2.89	-0.7129
carburateur	2.68	1.23	-0.6933	4.31	3.88	0.4356
carcan	1.53	0.80	-0.6252	1.94	2.59	0.7714
carcasse	2.43	1.09	-1.1710	4.98	3.72	0.4581
cardiogramme	2.05	1.06	-0.6063	4.36	3.92	0.4959
carence	2.68	1.53	1.5303	2.23	1.90	-0.2151
caresse	5.07	1.40	0.3756	4.76	3.35	-0.1233
cargo	2.36	1.08	-1.1059	4.79	3.46	0.0229
caribou	2.96	1.30	-0.5741	6.35	1.44	-0.1304
caricature	3.54	1.53	0.7237	5.33	2.46	-0.6663
carie	3.74	1.47	0.1750	5.18	2.82	-0.4515
carillon	1.98	0.99	-0.8376	3.93	4.80	1.8503
carnaval	3.69	1.58	1.0880	5.52	1.90	-0.9245
carotte	4.97	1.53	1.2720	6.98	0.01	0.6499
carpette	2.04	1.01	-0.8626	3.70	5.66	3.5120
carquois	1.23	0.54	-0.6805	2.02	3.10	1.1509
carré	4.79	1.71	2.6393	6.22	2.53	0.4307
carrefour	3.09	1.58	1.4569	3.94	3.10	-0.5163
carrière	4.86	1.31	-0.5320	3.34	2.89	-0.5033
carriole	1.85	1.07	-0.0938	3.84	5.02	2.2524
carrosse	3.11	1.41	0.0728	5.91	2.46	-0.0532
cartable	5.02	1.45	0.6936	6.53	0.59	-0.1363
cartouche	3.48	1.45	0.1120	5.36	2.31	-0.7707
cas	5.36	1.32	0.2237	2.33	2.37	-0.0007
cascade	3.20	1.39	-0.1573	4.87	3.65	0.2977
cascadeur	2.63	1.27	-0.3516	4.56	3.65	0.1746
caserne	2.84	1.33	-0.2205	5.19	4.67	1.9903
casino	4.45	1.48	0.3954	6.07	1.23	-0.6448
casque	4.47	1.39	-0.2859	6.55	0.64	-0.0915
cassette	4.51	1.44	0.1203	6.52	0.69	-0.1317
caste	2.33	1.54	2.1854	1.95	1.64	0.0435
castor	3.47	1.67	1.9606	6.81	0.32	0.3307
cataclysme	2.02	1.33	1.1921	2.55	2.92	0.2378
catalogue	4.45	1.47	0.3161	5.77	2.22	-0.4260
catapulte	2.02	1.04	-0.6537	5.33	3.72	0.7093
catastrophe	4.04	1.12	-2.2708	4.22	2.96	-0.6835
catégorie	4.58	1.27	-1.0667	2.75	1.85	-0.8888
cauchemar	4.68	1.14	-1.8265	4.33	3.80	0.3315
causalité	3.27	1.55	1.0504	2.02	1.96	0.1360
cause	5.27	1.39	0.5886	2.19	2.22	0.0717
cavalerie	2.25	1.18	-0.2936	4.20	3.96	0.5383
cave	4.50	1.67	2.0345	5.69	2.25	-0.4934
caverne	3.25	1.29	-0.9173	6.35	0.88	-0.3585
cavité	3.23	1.56	1.1650	4.16	3.42	-0.1620
cèdre	3.16	1.43	0.1799	5.88	2.53	-0.0353
ceinture	4.88	1.28	-0.7188	6.62	0.49	0.0019
céleri	4.87	1.50	0.9127	6.79	0.28	0.2877
cellule	4.12	1.51	0.4983	5.40	2.53	-0.5497
cène	1.69	0.96	-0.2959	2.25	3.96	1.8831
cens	2.76	1.88	4.6245	2.52	3.72	1.2127
cent	5.13	1.62	2.2415	5.50	3.31	0.3516
centaure	1.59	0.94	-0.1346	3.04	5.57	3.7095
centre	5.36	1.29	0.0135	4.45	2.92	-0.6915
cèpe	1.28	0.78	0.0164	1.41	0.76	0.6519
cerceau	3.16	1.35	-0.4174	6.36	0.85	-0.3539
cercueil	3.38	1.48	0.4049	6.56	0.56	-0.0905
cérémonie	4.11	1.55	0.8248	4.12	2.89	-0.7540
cerf	2.90	1.31	-0.4352	6.43	1.06	-0.1682
cerise	4.04	1.48	0.2429	6.84	0.22	0.3788
cerisier	2.64	1.36	0.2692	6.04	1.69	-0.4501
cerne	3.08	1.60	1.6374	4.72	4.58	1.5812
certitude	3.85	1.41	-0.3053	2.15	1.35	-0.4199
chacal	1.77	1.05	-0.0126	3.68	6.00	4.2148
chagrin	3.41	1.43	-0.0041	3.87	3.06	-0.5409
chair	3.47	1.50	0.5133	5.12	2.99	-0.3195
chaise	6.02	0.96	-0.6345	6.85	0.26	0.4016
châle	2.36	1.29	0.2307	4.97	4.75	1.9886
chalet	4.50	1.60	1.4198	6.25	1.32	-0.3430
chaloupe	2.69	1.32	-0.0913	6.36	0.96	-0.3175
chambre	6.20	1.00	0.0303	6.15	1.42	-0.4458
chameau	2.76	1.46	0.8572	6.72	0.37	0.1662
champ	4.51	1.29	-0.9795	6.28	1.00	-0.4293
champignon	4.48	1.53	0.8183	6.69	0.46	0.1241
champion	4.22	1.26	-1.3329	4.57	2.19	-1.3237
championnat	3.51	1.26	-1.2856	4.15	2.50	-1.1287
chance	5.42	1.31	0.2547	2.63	2.31	-0.4211
chandail	5.44	1.39	0.8696	6.60	0.52	-0.0286
chanteuse	5.05	1.18	-1.1749	5.26	2.76	-0.4560
chantier	3.22	1.43	0.1292	4.65	2.56	-0.9884
chaos	2.95	1.34	-0.2793	3.51	3.35	-0.0908
chapeau	5.02	1.24	-0.8235	6.76	0.26	0.2287
chapelle	3.28	1.48	0.4733	5.77	2.28	-0.3784
chaperon	2.78	1.25	-0.6978	4.87	3.35	-0.0716
chapiteau	2.28	1.19	-0.2873	4.69	3.96	0.6364
chapitre	5.41	1.09	-1.1805	4.23	2.86	-0.7880
charabia	1.83	1.04	-0.2157	1.93	1.93	0.2610
charité	3.94	1.26	-1.3837	3.16	2.22	-0.9863
charme	4.34	1.26	-1.2835	3.31	2.53	-0.8307
charnière	2.07	1.11	-0.3579	3.13	4.41	1.5971
charpente	2.59	1.37	0.4180	4.27	3.84	0.3785
charte	3.67	1.45	0.0358	3.84	2.79	-0.8163
châsse	2.45	1.65	2.9155	3.05	5.24	3.0805
chaste	2.38	1.16	-0.6605	2.36	2.07	-0.2742
chat	5.52	1.39	1.0133	6.91	0.08	0.5093
châtaigne	1.97	0.98	-0.8680	3.36	4.93	2.2957
château	3.72	1.59	1.1656	6.84	0.18	0.3762
châtiment	2.87	1.38	0.1064	2.83	2.72	-0.2654
chaton	4.20	1.55	0.8489	6.58	0.74	-0.0148
chaudron	3.81	1.52	0.5646	6.74	0.38	0.2052
chauffage	4.77	1.52	0.9714	4.09	3.28	-0.3326
chaussette	3.67	1.73	2.4270	6.57	0.74	-0.0324
chausson	3.00	1.40	0.1075	6.11	1.14	-0.6254
chaussure	4.63	1.50	0.6836	6.66	0.45	0.0671
chauve	3.61	1.33	-0.8406	5.87	1.99	-0.4779
chauve-souris	2.91	1.40	0.2080	6.85	0.20	0.3969
chauvinisme	1.56	0.78	-0.7923	2.13	2.25	0.1833
cheminée	4.12	1.43	-0.1334	6.70	0.46	0.1425
chemisier	2.85	1.45	0.6629	5.14	3.46	0.2256
chenille	3.04	1.42	0.2173	6.71	0.31	0.1406
cheptel	1.48	1.00	0.4812	1.83	2.43	0.8142
chéquier	2.44	1.11	-1.0700	4.47	3.96	0.5707
cheval	4.18	1.62	1.4387	6.90	0.09	0.4897
chevelure	3.38	1.19	-1.6745	6.11	1.14	-0.6254
cheveu	5.40	1.56	2.1473	6.60	0.58	-0.0172
cheville	4.17	1.70	2.1491	6.45	1.04	-0.1427
chèvre	3.29	1.51	0.7069	6.94	0.05	0.5690
chevreau	2.36	1.36	0.7289	4.29	5.11	2.3785
chewing-gum	2.72	1.77	3.6008	6.62	0.66	0.0355
chien	5.86	1.13	-0.0528	6.97	0.03	0.6295
chignon	2.46	1.30	0.1257	5.15	3.88	0.7782
chinoiserie	1.83	0.92	-0.8473	2.61	2.37	-0.3479
chirurgien	3.79	1.47	0.1659	5.56	1.80	-0.9555
choc	4.68	1.29	-0.8476	3.75	3.65	0.1838
choeur	2.84	1.41	0.3681	4.65	3.76	0.3541
choléra	1.90	1.08	-0.1542	2.68	3.92	1.2931
chômage	4.36	1.42	-0.1220	3.45	3.06	-0.3845
chose	6.08	1.18	0.7771	3.26	3.35	0.0524
chronique	3.62	1.43	-0.1029	2.79	2.79	-0.1611
chronomètre	3.48	1.39	-0.3456	6.19	1.49	-0.3504
ciel	5.84	1.17	0.1498	6.69	0.46	0.1241
cigare	3.65	1.62	1.4434	6.69	0.41	0.1160
cigarette	5.33	1.42	0.9103	6.85	0.22	0.3983
cigogne	2.57	1.44	0.9772	5.44	4.54	1.9900
ciment	3.72	1.52	0.5809	5.91	2.02	-0.4078
cimetière	3.90	1.42	-0.2320	6.52	0.50	-0.1706
cintre	2.69	1.54	1.5985	4.90	5.43	3.1644
circonstance	4.48	1.04	-2.5636	2.31	1.82	-0.3799
circulation	4.55	1.19	-1.6175	4.13	2.50	-1.1283
cirrhose	1.48	0.94	0.1686	2.16	3.39	1.2678
ciseaux	4.98	1.46	0.7220	6.87	0.19	0.4355
citadelle	2.19	1.11	-0.6062	4.33	4.12	0.7765
citation	4.61	1.49	0.5872	3.87	3.20	-0.3843
citerne	2.40	1.27	0.0220	3.97	4.84	1.9185
citoyen	4.79	1.20	-1.3463	4.19	3.65	0.1195
citoyenne	4.14	1.56	0.9153	3.88	3.61	0.1013
citron	4.12	1.64	1.5980	6.95	0.04	0.5890
citrouille	3.52	1.56	0.9817	6.94	0.08	0.5696
civière	2.65	1.42	0.7024	5.22	4.54	1.8040
civilisation	4.15	1.30	-1.0791	3.58	2.25	-1.2080
civisme	2.81	1.36	0.0342	2.47	2.82	0.2316
clafoutis	1.29	0.64	-0.5480	1.48	1.00	0.5881
clairière	2.65	1.50	1.3297	4.58	3.69	0.2300
clairon	1.57	0.77	-0.8612	3.22	5.34	3.1237
clarification	3.47	1.38	-0.4148	2.36	1.39	-0.6907
clarté	4.11	1.32	-0.9480	3.72	2.59	-0.9689
classement	3.95	1.28	-1.2471	3.31	2.76	-0.6187
classification	3.63	1.39	-0.4093	2.77	2.25	-0.6198
claustrophobie	2.59	1.43	0.8691	3.70	3.80	0.4030
clavecin	1.49	0.82	-0.4268	3.43	5.86	4.0214
clé	5.62	1.45	1.6611	6.63	0.59	0.0395
clebs	1.17	0.51	-0.5766	1.69	2.59	1.2009
clef	5.22	1.56	1.8591	6.28	1.77	-0.0537
clémence	2.43	1.19	-0.5587	2.23	2.37	0.1372
clenche	1.92	1.25	0.8631	1.94	1.74	0.1218
clic	3.44	1.70	2.2483	2.86	3.80	0.9486
cliché	3.74	1.37	-0.5877	2.79	2.56	-0.3771
client	5.16	1.28	-0.3642	4.23	3.35	-0.2487
cliente	4.97	1.42	0.4005	4.23	3.24	-0.3752
clientèle	4.56	1.57	1.2065	3.94	2.34	-1.2422
climatiseur	3.22	1.62	1.6855	5.11	3.28	-0.0132
clinique	4.56	1.46	0.3114	5.18	2.56	-0.7006
clique	3.62	1.65	1.7168	3.04	3.35	0.2162
clivage	2.09	1.06	-0.6918	3.12	4.04	1.0534
cloche	4.16	1.56	0.9206	6.52	0.62	-0.1467
clocher	2.86	1.20	-1.1286	5.91	1.96	-0.4473
clochette	2.72	1.42	0.6024	6.15	1.59	-0.3549
cloison	1.79	0.78	-1.3890	3.00	3.61	0.5702
clôture	4.36	1.37	-0.4967	6.71	0.37	0.1477
clou	3.88	1.52	0.5583	6.47	0.79	-0.1895
cobra	2.60	1.33	0.1126	6.50	0.69	-0.1658
cocaïne	3.69	1.62	1.4318	5.62	2.10	-0.6824
coccinelle	3.30	1.51	0.6996	6.71	0.66	0.1992
cochon	4.00	1.69	2.0262	6.89	0.09	0.4699
cocotte	3.63	1.56	0.9375	5.80	1.80	-0.6913
cocotte-minute	1.55	0.89	-0.2717	3.55	5.86	3.9618
cocu	1.94	1.14	0.1111	2.13	2.16	0.1140
codage	2.91	1.30	-0.5171	2.92	2.59	-0.4727
coffre-fort	3.00	1.56	1.3794	5.65	3.24	0.4215
coffret	3.19	1.39	-0.1489	5.69	2.22	-0.5170
cognac	3.37	1.64	1.7519	5.51	2.59	-0.3888
cohérence	3.56	1.40	-0.3079	2.34	1.61	-0.5473
cohue	1.52	0.78	-0.6824	2.15	2.43	0.3053
coiffure	4.48	1.29	-0.9993	5.84	1.72	-0.6925
coïncidence	4.47	1.49	0.4875	2.63	2.37	-0.3705
coing	1.26	0.63	-0.4904	1.77	2.28	0.7903
colibri	2.65	1.37	0.3277	5.75	4.24	1.8578
colique	2.38	1.31	0.3346	2.91	3.80	0.9017
collaborateur	3.61	1.31	-0.9824	3.02	2.96	-0.2016
collaboration	4.12	1.33	-0.8746	2.61	2.02	-0.6228
collage	3.34	1.36	-0.4843	4.79	2.72	-0.7809
collant	4.33	1.43	-0.0601	5.31	2.79	-0.3828
collection	4.37	1.40	-0.2684	4.16	2.76	-0.8887
collectivité	3.83	1.27	-1.3110	2.94	2.10	-0.8962
collègue	4.54	1.33	-0.6772	4.16	3.03	-0.6113
collet	3.45	1.66	1.8818	5.37	2.86	-0.2648
colline	3.68	1.36	-0.6463	6.21	1.25	-0.4340
collision	3.69	1.26	-1.3526	4.77	2.25	-1.2042
colloque	3.34	1.83	3.5422	3.65	3.80	0.4211
colombe	3.09	1.54	1.1217	6.18	2.22	0.1135
colonie	3.50	1.30	-1.0058	4.06	2.37	-1.2316
colorant	3.67	1.27	-1.2791	4.63	2.37	-1.1591
colza	1.24	0.57	-0.6221	1.24	0.56	0.9595
combinaison	4.00	1.40	-0.3804	3.29	2.76	-0.6060
combustion	2.95	1.43	0.3902	3.55	3.03	-0.4709
comédie	4.79	1.40	0.0502	3.61	2.76	-0.7742
comète	2.73	1.25	-0.6304	5.63	3.20	0.3593
comité	4.06	1.60	1.2384	3.52	2.10	-1.2940
commande	4.43	1.44	0.0697	3.11	3.03	-0.2011
commandement	3.51	1.41	-0.2100	3.00	2.76	-0.3891
commencement	4.47	1.36	-0.5075	3.11	2.96	-0.2742
commerçant	3.48	1.41	-0.1952	3.94	2.89	-0.7355
commerce	4.43	1.43	-0.0073	3.56	2.43	-1.0475
commère	2.53	1.43	0.9635	3.04	2.99	-0.1820
commissaire	2.95	1.36	-0.1343	3.05	3.24	0.0814
commission	4.23	1.44	-0.0243	3.09	2.79	-0.4304
commode	3.37	1.47	0.3320	4.98	4.62	1.7796
communauté	4.62	1.47	0.4362	3.47	2.56	-0.8932
communiqué	4.16	1.40	-0.3513	2.95	2.43	-0.6402
communisme	3.56	1.61	1.3897	2.80	2.79	-0.1712
compagnie	4.84	1.45	0.4844	3.46	2.62	-0.8291
comparaison	4.85	1.21	-1.2195	2.73	2.50	-0.3721
compas	2.83	1.33	-0.2080	5.66	3.20	0.3916
compatible	3.80	1.32	-0.9595	2.51	1.56	-0.7919
compensateur	2.51	1.63	2.6394	2.29	1.88	-0.3171
compère	1.71	0.88	-0.7426	2.05	2.02	0.1289
compétence	4.63	1.24	-1.2296	2.38	1.90	-0.4192
complaisance	2.15	1.21	0.0978	2.02	1.39	-0.1996
complément	4.30	1.57	1.0543	2.15	1.37	-0.4088
complet	5.16	1.24	-0.6349	3.38	3.24	-0.1486
complexe	4.68	1.43	0.1751	2.68	2.02	-0.7007
complexité	3.59	1.40	-0.3199	2.29	1.32	-0.6299
complication	4.09	1.53	0.6553	2.66	1.99	-0.6988
complicité	3.70	1.29	-1.1498	2.45	1.88	-0.5272
compliment	4.98	1.25	-0.8064	2.81	2.02	-0.8359
complot	2.88	1.14	-1.5299	2.80	2.40	-0.5250
composant	3.61	1.38	-0.4767	2.55	2.28	-0.3534
composante	4.09	1.41	-0.2922	2.75	2.31	-0.5507
composé	4.45	1.46	0.2374	2.63	2.10	-0.5829
composition	4.25	1.44	-0.0169	3.01	2.59	-0.5518
compote	3.47	1.36	-0.5620	5.38	2.46	-0.6231
compréhension	4.58	1.44	0.1705	2.36	1.23	-0.7649
compromis	4.09	1.34	-0.8092	2.40	1.28	-0.7973
comptabilité	3.93	1.58	1.0568	2.76	1.85	-0.8991
comptable	3.84	1.40	-0.3799	4.27	3.61	0.0741
compte	5.00	1.43	0.5138	3.08	2.79	-0.4225
comptine	2.23	1.11	-0.6852	3.47	2.25	-1.1562
comptoir	4.98	1.48	0.8799	5.95	2.02	-0.3564
comté	3.05	1.51	0.9154	2.88	3.03	-0.0039
comtesse	2.40	1.37	0.7310	3.87	3.24	-0.3435
concentration	5.13	1.22	-0.8094	2.58	2.13	-0.5041
concept	4.73	1.48	0.6110	2.23	1.51	-0.4511
conception	3.86	1.38	-0.5308	2.77	2.82	-0.1077
concombre	4.35	1.63	1.5931	6.89	0.10	0.4701
concurrence	3.52	1.33	-0.8034	2.40	1.74	-0.5494
concurrent	3.38	1.32	-0.7982	2.75	2.72	-0.1848
condition	4.83	1.34	-0.3504	2.29	1.10	-0.7240
conduit	4.51	1.55	1.0035	3.29	2.99	-0.3654
conduite	4.59	1.30	-0.8520	3.44	3.06	-0.3792
conférence	4.43	1.33	-0.7486	3.50	2.40	-1.0460
confession	3.78	1.37	-0.5952	2.98	2.16	-0.8876
confiance	5.08	1.37	0.1658	2.63	2.07	-0.6042
confidence	4.36	1.32	-0.8579	2.56	2.13	-0.4807
configuration	3.80	1.44	-0.0700	2.23	1.90	-0.2151
confirmation	4.37	1.22	-1.5349	2.83	1.90	-0.9330
confiture	4.34	1.46	0.1775	6.12	1.12	-0.6198
confrère	2.92	1.35	-0.1729	3.18	2.59	-0.6851
confusion	4.31	1.20	-1.6938	2.76	2.28	-0.5855
congé	5.36	1.37	0.5849	3.18	2.96	-0.3265
congrès	3.61	1.34	-0.7689	3.70	2.99	-0.5674
conjoint	4.41	1.51	0.6128	4.47	3.20	-0.3846
conjoncture	2.07	1.07	-0.5921	2.16	1.85	-0.1506
conjugaison	3.88	1.54	0.7226	2.86	2.53	-0.4744
conne	3.43	1.84	3.5849	2.58	3.17	0.4652
connexion	4.39	1.43	-0.0298	3.23	2.13	-1.1040
conquête	3.37	1.26	-1.2076	2.94	2.25	-0.7829
conscience	4.00	1.04	-2.7394	2.18	2.02	-0.0660
conseiller	4.41	1.25	-1.3143	3.75	2.59	-0.9785
consentement	3.52	1.16	-1.9402	2.54	1.49	-0.8678
conséquence	5.02	1.03	-2.1037	2.41	1.56	-0.6671
conservation	4.01	1.28	-1.2431	2.95	2.31	-0.7433
conserve	4.16	1.31	-1.0063	4.49	4.04	0.6881
considération	4.19	1.34	-0.7841	2.22	1.23	-0.5729
consigne	3.91	1.40	-0.3837	2.91	2.19	-0.8023
consolation	3.77	1.22	-1.6369	2.56	1.35	-0.9628
consommateur	4.36	1.32	-0.8579	3.70	2.89	-0.6742
consommation	4.52	1.41	-0.1025	3.30	2.34	-0.9852
constitution	3.94	1.45	-0.0009	2.56	2.56	-0.1262
constructeur	3.87	1.37	-0.6054	3.97	2.69	-0.9375
construction	4.61	1.41	-0.0358	4.52	2.53	-1.0563
consultant	3.68	1.42	-0.1983	3.50	2.43	-1.0195
consultation	4.14	1.40	-0.3566	2.51	1.74	-0.6870
conte	3.84	1.66	1.7568	4.04	3.61	0.0768
contemplation	2.68	1.23	-0.6933	2.40	2.53	0.0424
contenant	4.47	1.19	-1.6717	4.68	3.06	-0.4792
content	5.54	1.33	0.6121	3.90	3.24	-0.3498
continence	2.41	1.35	0.5674	2.05	2.40	0.4298
continuité	3.77	1.41	-0.2949	2.97	2.86	-0.2636
contour	3.94	1.43	-0.1556	4.37	2.43	-1.1690
contraception	4.40	1.65	1.7954	3.95	4.04	0.6686
contradiction	3.94	1.28	-1.2473	2.44	1.61	-0.6771
contrainte	3.54	1.26	-1.2994	2.46	2.13	-0.3596
contrariété	2.68	1.34	0.0659	1.94	1.04	-0.2228
contraste	4.02	1.39	-0.4533	3.58	3.28	-0.2078
contrat	4.54	1.41	-0.0885	4.09	3.35	-0.2476
contrepoison	1.82	1.15	0.4555	2.59	3.28	0.5760
contribution	3.90	1.20	-1.7800	2.52	1.82	-0.6487
contrôle	4.78	1.27	-0.8919	2.88	2.43	-0.5761
convenance	2.91	1.41	0.2835	2.23	1.80	-0.2861
convention	3.62	1.44	-0.0258	2.65	2.19	-0.5387
conversion	3.50	1.44	0.0244	2.50	2.04	-0.4728
conviction	3.59	1.25	-1.3874	2.49	1.59	-0.7536
convoi	2.26	1.18	-0.3128	3.01	3.35	0.2413
coopération	4.54	1.26	-1.1641	2.74	2.31	-0.5403
coordination	4.09	1.45	0.0150	2.93	2.43	-0.6222
coordonnée	4.33	1.31	-0.9431	2.90	2.19	-0.7931
copeau	2.07	1.19	0.1363	4.27	4.24	0.9518
copinage	2.25	1.46	1.6916	2.27	1.30	-0.6130
coq	3.36	1.42	-0.0496	6.87	0.17	0.4339
coque	2.52	1.32	0.1672	5.23	4.12	1.1764
coquillage	3.33	1.37	-0.4042	6.64	0.46	0.0331
coquille	3.38	1.44	0.0913	6.37	0.85	-0.3379
cor	1.75	1.13	0.5057	3.00	5.57	3.7431
corbeille	3.11	1.31	-0.6576	6.19	1.49	-0.3504
cordée	2.52	1.53	1.7746	3.42	3.88	0.6339
cordon	3.72	1.68	1.9560	6.08	1.32	-0.5902
corne	3.15	1.48	0.5795	5.82	2.66	0.0090
corneille	3.59	1.53	0.7030	6.65	0.52	0.0609
cornemuse	1.69	0.80	-1.0522	4.93	4.97	2.3441
cornet	3.72	1.44	-0.0550	6.26	1.37	-0.3057
cornichon	3.80	1.54	0.7303	6.75	0.48	0.2379
corporation	3.56	1.57	1.0481	2.63	1.51	-0.9589
corps	5.58	1.35	0.8317	6.04	1.69	-0.4501
corpulence	2.26	1.04	-1.1475	3.75	3.53	0.0398
correction	4.52	1.38	-0.3273	3.08	2.22	-0.9250
correspondance	3.69	1.22	-1.6191	2.87	2.22	-0.7419
correspondant	3.95	1.37	-0.6065	3.04	2.28	-0.8450
corrida	1.43	0.62	-1.0297	2.63	4.41	2.0677
