Mot	FREQ_Mean	FREQ_SD	FREQ_StResiduals	IMAGE_Mean	IMAGE_SD	IMAGE_StResiduals
ambassadeur	3.61	1.40	-0.3274	4.04	2.86	-0.7831
ambiance	4.04	1.28	-1.2396	2.70	1.93	-0.7810
ambiguïté	3.30	1.32	-0.7444	1.97	1.12	-0.2395
ambulance	4.51	1.50	0.5940	6.44	0.94	-0.1940
âme	4.22	1.48	0.2859	3.09	4.12	1.1930
aménagement	3.28	1.28	-1.0091	3.01	1.96	-1.0593
amende	4.10	1.26	-1.3658	4.88	3.92	0.6663
amertume	2.27	1.32	0.6080	2.43	2.53	0.0040
amnésie	3.12	1.39	-0.0869	2.84	2.59	-0.3974
amortisseur	2.50	1.09	-1.2888	3.50	3.65	0.2833
ampère	2.34	0.98	-1.6228	2.54	3.20	0.5523
ampleur	3.65	1.27	-1.2730	2.58	2.02	-0.5884
amplificateur	2.08	0.67	-2.4826	4.19	3.10	-0.5355
amplitude	3.52	1.77	2.8597	3.05	2.69	-0.4942
ampoule	4.04	1.34	-0.8174	6.71	0.31	0.1406
analogie	3.37	1.53	0.8154	2.19	1.96	-0.1200
ananas	4.12	1.76	2.6938	6.91	0.10	0.5101
anarchie	2.66	1.36	0.2398	2.69	2.56	-0.2728
anatomie	3.74	1.69	2.0420	4.04	2.92	-0.7137
ancêtre	3.46	1.31	-0.9152	3.68	3.06	-0.4860
âne	2.80	1.47	0.8831	6.42	1.44	-0.0174
angle	4.38	1.35	-0.6324	5.27	2.34	-0.8208
angoisse	3.66	1.35	-0.7132	2.88	2.56	-0.4648
anguille	2.20	1.10	-0.6855	5.63	2.72	-0.1441
animation	3.87	1.29	-1.1769	3.77	2.72	-0.8622
anneau	3.83	1.41	-0.3034	6.36	1.23	-0.2125
année	5.60	1.64	3.1988	3.37	5.15	2.6890
annexe	3.93	1.54	0.7216	3.70	2.99	-0.5674
annonce	5.08	1.02	-2.0807	3.52	2.76	-0.7344
annuaire	3.95	1.44	-0.0783	5.06	3.57	0.3110
antichambre	1.69	0.92	-0.4979	2.34	2.59	0.1790
anticipation	3.62	1.30	-1.0560	2.19	1.80	-0.2289
antipathie	2.73	1.35	0.0678	1.92	1.25	-0.1035
antithèse	2.66	1.32	-0.0481	2.15	2.37	0.2528
antre	1.60	1.08	0.5981	1.93	2.46	0.6742
anxiété	4.39	1.51	0.6018	2.81	2.22	-0.6837
aorte	2.23	1.49	1.9681	4.75	4.45	1.3904
aperçu	4.44	1.38	-0.3787	2.36	2.02	-0.3155
apéritif	3.43	1.45	0.1390	4.59	3.35	-0.1858
aphrodisiaque	2.34	1.36	0.7652	3.04	3.35	0.2162
aplomb	2.14	1.19	-0.0106	2.01	2.10	0.2539
apogée	2.38	1.39	0.9146	2.15	2.79	0.6326
appareil	4.81	1.36	-0.2261	4.38	2.69	-0.9362
appartement	5.88	1.11	-0.1282	5.72	1.96	-0.6752
appât	2.50	1.36	0.4877	3.75	4.97	2.1983
appel	5.52	1.01	-1.4359	3.65	2.92	-0.6211
appétit	5.23	1.19	-0.8584	3.18	2.92	-0.3621
application	4.33	1.22	-1.5546	2.98	2.69	-0.4352
apport	2.81	1.47	0.8702	2.41	1.64	-0.6243
appréciation	4.15	1.45	0.0287	2.51	1.72	-0.7031
apprentissage	4.61	1.38	-0.2606	2.67	1.90	-0.7673
approche	4.61	1.34	-0.5528	2.46	1.74	-0.6256
appui	4.35	1.31	-0.9335	2.95	2.22	-0.8154
aptitude	3.77	1.43	-0.1423	2.52	2.50	-0.1354
aquarelle	2.63	1.44	0.8856	4.06	4.24	0.9527
araignée	4.56	1.51	0.7102	6.91	0.10	0.5101
arbalète	1.37	0.74	-0.4167	3.26	5.95	4.3262
arbre	5.45	1.21	-0.3697	6.91	0.08	0.5093
arbuste	3.19	1.22	-1.3405	5.80	2.22	-0.3907
arc	3.22	1.62	1.6855	6.01	1.99	-0.2972
archer	2.13	1.15	-0.2413	3.62	5.34	2.9048
archet	2.09	1.04	-0.8046	3.40	6.05	4.4479
archipel	1.91	0.98	-0.7307	3.40	4.71	1.8995
architecture	3.52	1.58	1.1503	4.44	2.72	-0.8943
ardeur	2.70	1.32	-0.1055	2.09	1.14	-0.4183
arène	2.47	1.56	2.1059	3.05	4.16	1.2846
arête	3.41	1.79	3.1090	4.94	4.41	1.4181
argile	2.94	1.37	-0.0497	4.94	3.24	-0.1607
argot	1.72	1.06	0.1698	2.08	3.50	1.5225
argument	4.93	1.47	0.7411	2.86	2.40	-0.5836
armistice	2.08	1.19	0.1149	1.88	1.25	-0.0373
armoire	4.74	1.38	-0.1477	6.54	0.45	-0.1455
armure	3.13	1.38	-0.1705	5.61	2.37	-0.4806
arôme	3.18	1.34	-0.5070	3.23	3.03	-0.2887
arrivée	5.34	1.31	0.1202	2.98	2.13	-0.9097
arrosoir	3.27	1.30	-0.8630	6.39	0.77	-0.3262
arsenal	2.04	1.16	0.0116	2.72	3.06	0.1935
artère	3.61	1.50	0.4515	5.65	2.22	-0.5607
artichaut	2.26	1.13	-0.6230	5.13	4.67	1.9470
articulation	4.01	1.55	0.8090	4.37	3.13	-0.4824
artillerie	2.20	1.18	-0.1956	4.16	4.00	0.5941
artisan	3.00	1.26	-0.8926	4.61	2.46	-1.0860
ascension	2.94	1.26	-0.8266	3.29	2.82	-0.5403
asile	2.74	1.26	-0.5767	4.43	2.66	-0.9585
aspect	4.45	1.41	-0.1479	1.98	1.37	-0.1477
asperge	3.52	1.42	-0.1387	6.54	0.86	-0.0491
asphalte	3.62	1.58	1.1096	5.94	2.31	-0.1450
aspirateur	4.55	1.45	0.2259	6.27	1.37	-0.2905
aspiration	3.43	1.37	-0.4669	2.83	2.69	-0.2968
aspirine	4.52	1.59	1.3477	6.15	1.10	-0.5851
assaut	2.60	1.02	-1.8439	3.20	2.25	-0.9916
assemblée	3.77	1.33	-0.8836	3.73	3.17	-0.3866
assiette	5.54	1.31	0.4703	6.82	0.19	0.3380
assistanat	3.41	1.28	-1.0958	2.25	2.40	0.1351
assistance	4.02	1.39	-0.4533	2.95	2.62	-0.4700
assistant	4.50	1.21	-1.5233	3.73	2.79	-0.7854
association	4.51	1.50	0.5940	2.85	2.46	-0.5205
astronaute	3.27	1.43	0.0901	6.50	0.59	-0.1876
astuce	2.74	1.45	0.8061	2.06	1.39	-0.2617
atmosphère	4.02	1.32	-0.9627	3.95	3.61	0.0883
atome	3.55	1.57	1.0523	4.47	3.92	0.5155
atout	3.40	1.41	-0.1507	2.51	2.50	-0.1233
âtre	1.53	1.29	2.1251	1.69	1.82	0.6016
attachement	4.23	1.30	-1.0544	2.90	2.10	-0.8597
attaque	4.53	1.15	-1.8831	4.08	3.10	-0.5327
atteinte	4.02	1.31	-1.0334	2.19	1.64	-0.3242
attelage	2.39	1.17	-0.6156	3.81	4.58	1.5186
attendrissement	2.34	1.25	-0.0058	2.54	2.19	-0.4123
attirance	3.88	1.48	0.2360	2.81	2.13	-0.7516
attraction	4.35	1.23	-1.4792	3.22	2.28	-0.9816
attrape	4.47	1.25	-1.2785	3.15	2.89	-0.3751
attribut	3.35	1.40	-0.1945	2.25	1.88	-0.2616
attribution	3.33	1.46	0.2798	1.83	0.90	-0.0867
aubergine	2.43	1.32	0.3176	5.90	3.24	0.7140
audace	2.94	1.19	-1.2872	2.22	1.82	-0.2548
audience	4.00	1.30	-1.1055	4.29	3.28	-0.3298
audition	4.08	1.44	-0.0645	3.50	3.57	0.1865
auge	1.66	0.94	-0.3202	2.13	2.96	0.8341
augmentation	4.77	1.32	-0.5540	3.18	2.46	-0.7986
augure	1.88	1.14	0.2505	1.56	1.02	0.4406
aune	1.20	0.49	-0.7251	1.37	0.86	0.7639
aura	2.75	1.21	-0.9220	3.14	4.00	0.9814
