word,freqlivres,freqfilms,ratio,zipf_livres,zipf_films,cgrams,tier
définir,7.7000,3.0700,2.5032,3.8865,3.4871,VER,debutant
moindre,116.9600,46.7400,2.5020,5.0680,4.6697,ADJ,debutant
mythomane,1.4900,0.5900,2.5000,3.1732,2.7709,"ADJ, NOM",intermediaire
adagio,0.3400,0.1300,2.5000,2.5315,2.1139,NOM,intermediaire
agissant,0.1400,0.0500,2.5000,2.1461,1.6990,ADJ,intermediaire
biennale,0.1400,0.0500,2.5000,2.1461,1.6990,NOM,intermediaire
biniou,0.7400,0.2900,2.5000,2.8692,2.4624,NOM,intermediaire
cabotin,0.5400,0.2100,2.5000,2.7324,2.3222,"ADJ, NOM",intermediaire
cacheter,0.3400,0.1300,2.5000,2.5315,2.1139,VER,intermediaire
cerbère,0.1400,0.0500,2.5000,2.1461,1.6990,NOM,intermediaire
chassie,0.1400,0.0500,2.5000,2.1461,1.6990,NOM,intermediaire
chatoyant,0.7400,0.2900,2.5000,2.8692,2.4624,ADJ,intermediaire
cherry,0.3400,0.1300,2.5000,2.5315,2.1139,NOM,intermediaire
chiader,0.1400,0.0500,2.5000,2.1461,1.6990,VER,intermediaire
circassien,0.1400,0.0500,2.5000,2.1461,1.6990,NOM,intermediaire
cisaillement,0.1400,0.0500,2.5000,2.1461,1.6990,NOM,intermediaire
clamser,0.7400,0.2900,2.5000,2.8692,2.4624,VER,intermediaire
codicille,0.1400,0.0500,2.5000,2.1461,1.6990,NOM,intermediaire
combientième,0.1400,0.0500,2.5000,2.1461,1.6990,"ADJ, NOM",intermediaire
confluer,0.1400,0.0500,2.5000,2.1461,1.6990,VER,intermediaire
considérant,0.1400,0.0500,2.5000,2.1461,1.6990,NOM,intermediaire
constable,0.1400,0.0500,2.5000,2.1461,1.6990,NOM,intermediaire
corser,0.7400,0.2900,2.5000,2.8692,2.4624,VER,intermediaire
costumer,0.1400,0.0500,2.5000,2.1461,1.6990,VER,intermediaire
cranter,0.1400,0.0500,2.5000,2.1461,1.6990,VER,intermediaire
cristalliser,0.3400,0.1300,2.5000,2.5315,2.1139,VER,intermediaire
cyclable,0.1400,0.0500,2.5000,2.1461,1.6990,ADJ,intermediaire
daurade,0.7400,0.2900,2.5000,2.8692,2.4624,NOM,intermediaire
destructif,0.1400,0.0500,2.5000,2.1461,1.6990,ADJ,intermediaire
digeste,0.1400,0.0500,2.5000,2.1461,1.6990,"ADJ, NOM",intermediaire
dyspepsie,0.1400,0.0500,2.5000,2.1461,1.6990,NOM,intermediaire
démembrement,0.3400,0.1300,2.5000,2.5315,2.1139,NOM,intermediaire
désassembler,0.1400,0.0500,2.5000,2.1461,1.6990,VER,intermediaire
désembourber,0.1400,0.0500,2.5000,2.1461,1.6990,VER,intermediaire
désorganiser,0.1400,0.0500,2.5000,2.1461,1.6990,VER,intermediaire
désosser,0.3400,0.1300,2.5000,2.5315,2.1139,VER,intermediaire
dévaster,0.5400,0.2100,2.5000,2.7324,2.3222,VER,intermediaire
effraie,0.3400,0.1300,2.5000,2.5315,2.1139,NOM,intermediaire
ensorcellement,0.1400,0.0500,2.5000,2.1461,1.6990,NOM,intermediaire
fagoté,0.3400,0.1300,2.5000,2.5315,2.1139,ADJ,intermediaire
ferronnerie,0.3400,0.1300,2.5000,2.5315,2.1139,NOM,intermediaire
fixateur,0.1400,0.0500,2.5000,2.1461,1.6990,"ADJ, NOM",intermediaire
fleurette,0.7400,0.2900,2.5000,2.8692,2.4624,NOM,intermediaire
fluorescence,0.1400,0.0500,2.5000,2.1461,1.6990,NOM,intermediaire
forfaitaire,0.1400,0.0500,2.5000,2.1461,1.6990,ADJ,intermediaire
foutral,0.1400,0.0500,2.5000,2.1461,1.6990,ADJ,intermediaire
gaule,1.8900,0.7500,2.5000,3.2765,2.8751,NOM,intermediaire
gustatif,0.1400,0.0500,2.5000,2.1461,1.6990,ADJ,intermediaire
immolation,0.1400,0.0500,2.5000,2.1461,1.6990,NOM,intermediaire
induit,0.1400,0.0500,2.5000,2.1461,1.6990,"ADJ, NOM",intermediaire
inexpugnable,0.3400,0.1300,2.5000,2.5315,2.1139,ADJ,intermediaire
insonoriser,0.1400,0.0500,2.5000,2.1461,1.6990,VER,intermediaire
isocèle,0.1400,0.0500,2.5000,2.1461,1.6990,ADJ,intermediaire
ligaturer,0.1400,0.0500,2.5000,2.1461,1.6990,VER,intermediaire
lignage,0.3400,0.1300,2.5000,2.5315,2.1139,NOM,intermediaire
loucheur,0.1400,0.0500,2.5000,2.1461,1.6990,NOM,intermediaire
luminescence,0.1400,0.0500,2.5000,2.1461,1.6990,NOM,intermediaire
léonard,0.1400,0.0500,2.5000,2.1461,1.6990,ADJ,intermediaire
monnayer,0.7400,0.2900,2.5000,2.8692,2.4624,VER,intermediaire
mélangeur,0.1400,0.0500,2.5000,2.1461,1.6990,NOM,intermediaire
météorique,0.1400,0.0500,2.5000,2.1461,1.6990,ADJ,intermediaire
opticien,0.3400,0.1300,2.5000,2.5315,2.1139,NOM,intermediaire
