mot;score_final;score_semantique;score_frequence;zipf_books;ratio;categories_wikt;theme_similar;in_reference;classe
faunesse;0.7563;0.6126;1.0;1.845;10.0;poétique;Esprit & Caractère;non;Excellent
encor;0.7527;0.6054;1.0;2.431;0.643;poétique;Sentiments & Psyché;non;Excellent
colombe;0.7526;0.6101;0.85;3.545;0.691;littéraire+poétique;Nature & Cosmos;non;Excellent
aquilon;0.7518;0.6035;1.0;2.672;10.0;poétique;Nature & Cosmos;non;Excellent
brisure;0.7508;0.6016;1.0;2.869;10.0;poétique;Sentiments & Psyché;non;Excellent
fronde;0.7497;0.5993;1.0;3.228;1.965;poétique;Esprit & Caractère;non;Excellent
commère;0.7491;0.6582;1.0;3.386;7.147;archaïque;Art & Langage;non;Excellent
hymen;0.7487;0.5974;1.0;2.531;0.166;poétique;Nature & Cosmos;non;Excellent
fructueux;0.7479;0.5958;1.0;3.13;4.219;poétique;Esprit & Caractère;non;Excellent
albâtre;0.7478;0.5955;1.0;3.473;5.211;poétique;Nature & Cosmos;non;Excellent
décombre;0.7381;0.6411;0.85;3.816;6.009;littéraire;Sentiments & Psyché;non;Excellent
humilié;0.734;0.6281;1.0;3.334;1.982;archaïque;Sentiments & Psyché;non;Excellent
disant;0.7275;0.62;0.85;3.847;5.535;littéraire;Sentiments & Psyché;non;Excellent
civilement;0.726;0.6121;1.0;2.869;18.5;archaïque;Esprit & Caractère;non;Excellent
gerbe;0.723;0.6109;0.85;3.886;20.263;littéraire;Nature & Cosmos;non;Excellent
appariteur;0.7222;0.6044;1.0;2.531;1.214;archaïque;Esprit & Caractère;non;Excellent
gémissement;0.7211;0.6472;0.85;3.969;9.608;poétique;Sentiments & Psyché;non;Excellent
chaume;0.72;0.6449;0.85;3.687;13.5;poétique;Nature & Cosmos;non;Excellent
crapule;0.719;0.598;1.0;3.398;0.564;archaïque;Nature & Cosmos;non;Excellent
dériveur;0.7178;0.5957;1.0;2.146;1.0;archaïque;Esprit & Caractère;non;Excellent
dépouille;0.7177;0.6004;0.85;3.699;2.959;littéraire;Nature & Cosmos;non;Excellent
clameur;0.7159;0.5968;0.85;3.749;7.685;littéraire;Art & Langage;non;Excellent
cygne;0.7144;0.6338;0.85;3.668;0.883;poétique;Nature & Cosmos;non;Excellent
furie;0.7093;0.6236;0.85;3.744;2.702;poétique;Sentiments & Psyché;non;Excellent
foudroyant;0.7012;0.6075;0.85;3.511;32.4;poétique;Lumière & Ombres;non;Excellent
brise;0.6931;0.5963;0.7;4.037;1.943;littéraire+poétique;Nature & Cosmos;non;Excellent
correspondance;0.6665;0.6031;0.7;4.075;2.231;littéraire;Sentiments & Psyché;non;Excellent
