mot;score_v3;classe;zipf_books;ratio;categories_wikt
sangle;1.0;Excellent;3.348;3.78;archaïque
sangler;1.0;Excellent;3.386;50.0;archaïque
saoul;1.0;Excellent;3.976;1.211;archaïque
saphisme;1.0;Excellent;1.845;10.0;littéraire
sardanapalesque;1.0;Excellent;1.845;10.0;littéraire
satire;1.0;Excellent;2.613;1.519;littéraire
saur;1.0;Excellent;2.732;50.0;archaïque
sceptre;1.0;Excellent;3.152;0.882;soutenu
secoûrir;1.0;Excellent;3.422;0.889;archaïque
seing;1.0;Excellent;1.845;7.0;archaïque
semblance;1.0;Excellent;2.431;13.5;littéraire
sente;1.0;Excellent;3.362;32.857;littéraire
seoir;1.0;Excellent;3.453;1.701;littéraire+soutenu
septante;1.0;Excellent;1.845;0.636;archaïque
septentrion;1.0;Excellent;1.845;0.438;soutenu
servilité;1.0;Excellent;3.061;50.0;littéraire
sidérer;1.0;Excellent;3.061;2.738;soutenu
signifiance;1.0;Excellent;1.845;0.5;littéraire
sillon;1.0;Excellent;3.863;15.87;littéraire+poétique
simarre;1.0;Excellent;2.146;10.0;poétique
similitude;1.0;Excellent;2.978;2.794;littéraire
situër;1.0;Excellent;3.894;2.904;archaïque
smaragdin;1.0;Excellent;1.845;10.0;littéraire
solaire;1.0;Excellent;3.812;0.922;littéraire
sollicitation;1.0;Excellent;3.228;50.0;littéraire
sommeiller;1.0;Excellent;3.276;37.8;poétique
songerie;1.0;Excellent;2.944;44.0;littéraire
sourdre;1.0;Excellent;3.538;10.0;littéraire
souventefois;1.0;Excellent;2.146;10.0;archaïque
spiritueux;1.0;Excellent;2.785;1.488;archaïque
splendide;1.0;Excellent;3.863;0.472;littéraire
spondée;1.0;Excellent;1.845;10.0;littéraire
stupre;1.0;Excellent;2.908;5.786;soutenu
subjuguer;1.0;Excellent;3.19;4.429;littéraire
sublimer;1.0;Excellent;2.732;1.2;littéraire
superfétatoire;1.0;Excellent;2.431;9.0;soutenu
surréel;1.0;Excellent;2.301;10.0;littéraire
survivance;1.0;Excellent;2.944;22.0;littéraire
suspicieux;1.0;Excellent;2.732;0.831;littéraire
sylvain;1.0;Excellent;1.845;10.0;littéraire
sylve;1.0;Excellent;2.146;10.0;poétique
sylvestre;1.0;Excellent;2.908;3.522;littéraire
séraphique;1.0;Excellent;2.531;10.0;littéraire
sõt;1.0;Excellent;3.577;1.385;archaïque
tablature;1.0;Excellent;1.845;10.0;archaïque
tacher;1.0;Excellent;3.635;2.541;littéraire
tancer;1.0;Excellent;2.672;47.0;littéraire
tigrure;1.0;Excellent;1.845;10.0;soutenu
tintinnabulement;1.0;Excellent;1.845;10.0;littéraire
tombeau;1.0;Excellent;3.95;0.938;littéraire
tourbe;1.0;Excellent;3.292;4.455;littéraire
tourte;1.0;Excellent;2.732;0.524;poétique
toxique;1.0;Excellent;2.613;0.186;littéraire
tracer;1.0;Excellent;3.863;3.288;soutenu
trame;1.0;Excellent;3.722;12.256;poétique
tressautement;1.0;Excellent;2.672;10.0;soutenu
tribut;1.0;Excellent;3.334;3.13;poétique
tréfonds;1.0;Excellent;3.464;4.694;littéraire
trémuler;1.0;Excellent;2.301;10.0;littéraire
turquin;1.0;Excellent;2.146;10.0;littéraire
tympan;1.0;Excellent;3.545;3.944;littéraire
tétin;1.0;Excellent;2.301;10.0;littéraire
unanimisme;1.0;Excellent;1.845;10.0;littéraire
uranisme;1.0;Excellent;1.845;10.0;littéraire
val;1.0;Excellent;3.483;1.434;littéraire
varia;1.0;Excellent;1.845;3.5;littéraire
vastitude;1.0;Excellent;2.301;10.0;littéraire
verbe;1.0;Excellent;3.923;5.048;littéraire+soutenu
vergeture;1.0;Excellent;2.613;1.0;littéraire
vergogneux;1.0;Excellent;2.431;10.0;littéraire
vermisseau;1.0;Excellent;1.845;0.241;littéraire
vestige;1.0;Excellent;3.789;6.543;soutenu
vexer;1.0;Excellent;3.622;0.804;littéraire
vibratile;1.0;Excellent;2.301;20.0;littéraire
vicinal;1.0;Excellent;2.672;10.0;littéraire
violette;1.0;Excellent;3.642;3.752;poétique
vipère;1.0;Excellent;3.52;0.968;littéraire
virginité;1.0;Excellent;3.545;0.826;littéraire
virilité;1.0;Excellent;3.803;2.581;littéraire
vitré;1.0;Excellent;4.05;37.4;archaïque
vitupérer;1.0;Excellent;2.613;10.0;littéraire
voire;1.0;Excellent;4.228;2.276;littéraire
vomissure;1.0;Excellent;2.908;2.455;soutenu
vulgarité;1.0;Excellent;3.728;3.358;soutenu
vulpin;1.0;Excellent;1.845;10.0;soutenu
vénusté;1.0;Excellent;2.531;10.0;littéraire
échevelé;1.0;Excellent;3.32;50.0;littéraire
éclore;1.0;Excellent;3.453;3.463;littéraire
écrin;1.0;Excellent;3.529;9.389;poétique
émacié;1.0;Excellent;3.307;50.0;soutenu
émail;1.0;Excellent;3.759;10.25;poétique
émailler;1.0;Excellent;2.869;24.667;poétique
émasculer;1.0;Excellent;2.146;4.667;littéraire
éminent;1.0;Excellent;3.307;1.223;soutenu
énervé;1.0;Excellent;3.334;0.943;littéraire
éonisme;1.0;Excellent;1.845;10.0;littéraire
éployer;1.0;Excellent;2.613;10.0;littéraire
érotique;1.0;Excellent;3.775;1.957;littéraire
étreinte;1.0;Excellent;4.092;6.0;soutenu
évanouir;1.0;Excellent;3.916;1.873;archaïque
